model,backend,fold,seed,run_id,status,epoch
segformer_b2,semantic,0,1,segformer_b2-f0-s1,completed_verified,60
segformer_b2,semantic,0,2,segformer_b2-f0-s2,completed_verified,60
segformer_b2,semantic,0,3,segformer_b2-f0-s3,completed_verified,60
segformer_b2,semantic,1,1,segformer_b2-f1-s1,completed_verified,60
segformer_b2,semantic,1,2,segformer_b2-f1-s2,completed_verified,60
segformer_b2,semantic,1,3,segformer_b2-f1-s3,completed_verified,60
segformer_b2,semantic,2,1,segformer_b2-f2-s1,completed_verified,60
segformer_b2,semantic,2,2,segformer_b2-f2-s2,completed_verified,60
segformer_b2,semantic,2,3,segformer_b2-f2-s3,completed_verified,60
yolo26n_det,yolo,0,1,yolo26n_det-f0-s1,completed_verified,60
yolo26n_det,yolo,0,2,yolo26n_det-f0-s2,completed_verified,60
yolo26n_det,yolo,0,3,yolo26n_det-f0-s3,completed_verified,60
yolo26n_det,yolo,1,1,yolo26n_det-f1-s1,completed_verified,60
yolo26n_det,yolo,1,2,yolo26n_det-f1-s2,completed_verified,60
yolo26n_det,yolo,1,3,yolo26n_det-f1-s3,completed_verified,60
yolo26n_det,yolo,2,1,yolo26n_det-f2-s1,completed_verified,60
yolo26n_det,yolo,2,2,yolo26n_det-f2-s2,completed_verified,60
yolo26n_det,yolo,2,3,yolo26n_det-f2-s3,completed_verified,60
yolo26s_det,yolo,0,1,yolo26s_det-f0-s1,completed_verified,60
yolo26s_det,yolo,0,2,yolo26s_det-f0-s2,completed_verified,60
yolo26s_det,yolo,0,3,yolo26s_det-f0-s3,completed_verified,60
yolo26s_det,yolo,1,1,yolo26s_det-f1-s1,completed_verified,60
yolo26s_det,yolo,1,2,yolo26s_det-f1-s2,completed_verified,60
yolo26s_det,yolo,1,3,yolo26s_det-f1-s3,completed_verified,60
yolo26s_det,yolo,2,1,yolo26s_det-f2-s1,completed_verified,60
yolo26s_det,yolo,2,2,yolo26s_det-f2-s2,completed_verified,60
yolo26s_det,yolo,2,3,yolo26s_det-f2-s3,completed_verified,60
yolo26n_seg,yolo,0,1,yolo26n_seg-f0-s1,completed_verified,60
yolo26n_seg,yolo,0,2,yolo26n_seg-f0-s2,completed_verified,60
yolo26n_seg,yolo,0,3,yolo26n_seg-f0-s3,completed_verified,60
yolo26n_seg,yolo,1,1,yolo26n_seg-f1-s1,completed_verified,60
yolo26n_seg,yolo,1,2,yolo26n_seg-f1-s2,completed_verified,60
yolo26n_seg,yolo,1,3,yolo26n_seg-f1-s3,completed_verified,60
yolo26n_seg,yolo,2,1,yolo26n_seg-f2-s1,completed_verified,60
yolo26n_seg,yolo,2,2,yolo26n_seg-f2-s2,completed_verified,60
yolo26n_seg,yolo,2,3,yolo26n_seg-f2-s3,completed_verified,60
yolo26s_seg,yolo,0,1,yolo26s_seg-f0-s1,completed_verified,60
yolo26s_seg,yolo,0,2,yolo26s_seg-f0-s2,completed_verified,60
yolo26s_seg,yolo,0,3,yolo26s_seg-f0-s3,completed_verified,60
yolo26s_seg,yolo,1,1,yolo26s_seg-f1-s1,completed_verified,60
yolo26s_seg,yolo,1,2,yolo26s_seg-f1-s2,completed_verified,60
yolo26s_seg,yolo,1,3,yolo26s_seg-f1-s3,completed_verified,60
yolo26s_seg,yolo,2,1,yolo26s_seg-f2-s1,completed_verified,60
yolo26s_seg,yolo,2,2,yolo26s_seg-f2-s2,completed_verified,60
yolo26s_seg,yolo,2,3,yolo26s_seg-f2-s3,completed_verified,60
rtdetrv2_r18,rtdetr,0,1,rtdetrv2_r18-f0-s1,completed_verified,60
rtdetrv2_r18,rtdetr,0,2,rtdetrv2_r18-f0-s2,completed_verified,60
rtdetrv2_r18,rtdetr,0,3,rtdetrv2_r18-f0-s3,completed_verified,60
rtdetrv2_r18,rtdetr,1,1,rtdetrv2_r18-f1-s1,completed_verified,60
rtdetrv2_r18,rtdetr,1,2,rtdetrv2_r18-f1-s2,completed_verified,60
rtdetrv2_r18,rtdetr,1,3,rtdetrv2_r18-f1-s3,completed_verified,60
rtdetrv2_r18,rtdetr,2,1,rtdetrv2_r18-f2-s1,completed_verified,60
rtdetrv2_r18,rtdetr,2,2,rtdetrv2_r18-f2-s2,completed_verified,60
rtdetrv2_r18,rtdetr,2,3,rtdetrv2_r18-f2-s3,completed_verified,60
